Syntax version=4
Sun Jul 23 22:56:50 2017
Starting process (3914065 clocks per sec)

LogRawData=false
VarHeader=1
D:		ang_acc	Acc_data[0]	Gyro_data[0]	state_vector[0]	w_rad	state_vector[1]	state_vector[2]	state_vector[3]	switch_flag
D:	time(ms)	(0x20003da0,6)	(0x20003dc4,6)	(0x20003dd0,6)	(0x20003d8c,6)	(0x20003d88,6)	(0x20003d90,6)	(0x20003d94,6)	(0x20003d98,6)	(0x20003da4,0)
D:	3886.43	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
D:	3887.54	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
D:	3888.66	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
D:	3889.78	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
D:	3890.92	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
D:	3892.06	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
D:	3893.18	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
D:	3894.34	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
D:	3895.44	0.000000	56.059002	15.067500	2.640626	0.108276	-15.067500	0.000000	0.086884	1
D:	3896.55	0.000000	58.681999	15.067500	3.726515	0.108276	-15.067500	0.000000	0.086884	1
D:	3897.65	0.000000	58.681999	15.067500	3.726515	0.108276	-15.067500	0.000000	0.086884	1
D:	3898.77	0.000000	58.681999	15.067500	3.726515	0.108276	-15.067500	0.000000	0.086884	1
D:	3899.90	0.000000	58.681999	14.945000	3.726515	0.108276	-15.067500	0.000000	0.108276	1
D:	3901.01	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3902.34	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3903.47	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3904.57	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3905.70	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3906.82	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3907.94	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3909.07	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3910.19	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3911.41	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3912.52	0.000000	58.681999	14.945000	3.726515	0.167694	-14.945000	0.000000	0.108276	1
D:	3913.62	0.000000	29.524000	14.945000	-4.456053	0.167694	-14.945000	0.000000	0.108276	1
D:	3914.75	0.000000	29.524000	14.945000	-4.456053	0.167694	-14.945000	0.000000	0.108276	1
D:	3915.88	0.000000	29.524000	14.945000	-4.456053	0.167694	-14.945000	0.000000	0.108276	1
D:	3916.99	0.000000	29.524000	11.016250	-4.456053	-0.036783	-11.016250	0.000000	0.167694	1
D:	3917.99	0.000000	29.524000	11.016250	-4.456053	-0.036783	-11.016250	0.000000	0.167694	1
D:	3919.01	0.000000	29.524000	11.016250	-4.456053	-0.036783	-11.016250	0.000000	0.167694	1
D:	3920.03	0.000000	29.524000	11.016250	-4.456053	-0.036783	-11.016250	0.000000	0.167694	1
